placavehiculo,cilindraje,modelovehiculo,clasedevehiculo,tipodeservicio,numeromotorvehiculo,numerochasis,capacidadpasajeros,numerofacturadeventa,tipodecombustible,estado
DTK69D,112.8,2015,MOTOCICLETA,PARTICULAR,F4E6-231903,9FSNF4JC5FC103140,1,5886,GASOLINA,ACTIVO
CET740,2700,1999,CAMPERO,PARTICULAR,1809598,9FH11UJ90X9000211,5,1686,GASOLINA,ACTIVO
TJY076,998,2013,AUTOMOVIL,PUBLICO,G3LACP148939,KNABE511ADT407367,5,5334,GASOLINA,ACTIVO
HBA748,1400,1984,AUTOMOVIL,PARTICULAR,G0000486,E0911526,5,6059,GASOLINA,ACTIVO
TJY171,1598,2015,AUTOMOVIL,PUBLICO,F710Q173775,9FBLSRADBFM653321,5,1635,GASOLINA,ACTIVO
ZIB84A,115,2005,MOTOCICLETA,PARTICULAR,3HB327145,9FK5JV11651327145,1,4008393,GASOLINA,ACTIVO
MCD675,5900,1979,CAMION,PUBLICO,FE6052120B,DT928619,2,0,ACPM,ACTIVO
WGQ92D,144.8,2016,MOTOCICLETA,PARTICULAR,JEZWFL20517,9FLA64CZ3GBF05888,1,20373,GASOLINA,ACTIVO
WHB21D,144.8,2017,MOTOCICLETA,PARTICULAR,JEZWGH22173,9FLA64CZ6HDB30780,1,24125,GASOLINA,ACTIVO
WGR41D,113.7,2016,MOTOCICLETA,PARTICULAR,E3H4E069490,9FKKE1379G2069490,1,5000,GASOLINA,ACTIVO
BIJ336,1300,1997,AUTOMOVIL,PARTICULAR,JE0001893,SP97760013,5,392884,GASOLINA,ACTIVO
WIU72A,99,2013,MOTOCICLETA,PARTICULAR,DUMBVA71317,9FLDUC4Z6DAG55250,1,13708,GASOLINA,ACTIVO
WIU17A,152,2012,MOTOCICLETA,PARTICULAR,45D3013155,9FKKG0346C2013155,1,2086,GASOLINA,ACTIVO
WIC80A,124,2008,MOTOCICLETA,PARTICULAR,JC30E95626114,JC30E95626114,1,104,GASOLINA,ACTIVO
SMI396,5307,2011,BUS,PUBLICO,J05CTF22655,JHDFC4JKUBXX12477,38,122716,ACPM,ACTIVO
WGW25D,124.6,2017,MOTOCICLETA,PARTICULAR,KN25SR2233772,9FLU62018HCE46543,1,11513,GASOLINA,ACTIVO
TJY019,15000,2013,TRACTOCAMION,PUBLICO,79542175,712305,2,3735,ACPM,ACTIVO
TUQ490,7000,1986,VOLQUETA,PUBLICO,FE6000813C,CM810204,2,95711,ACPM,ACTIVO
ZGK15A,115,2005,MOTOCICLETA,PARTICULAR,3HB327558,9FKJV11451327558,1,0,GASOLINA,ACTIVO
BTM149,1400,2006,AUTOMOVIL,PARTICULAR,F14D3397344K,KL1TJ58736B579286,5,20266,GASOLINA,ACTIVO
WIH99A,135,2009,MOTOCICLETA,PARTICULAR,JNGBPM66654,MD2JNB2Z28VM01393,1,1714,GASOLINA,ACTIVO
DJN90,100,1997,MOTOCICLETA,PARTICULAR,E1031132162,BE11A-SC70530,1,59,GASOLINA,ACTIVO
NKL370,2200,1994,CAMIONETA,PARTICULAR,572057,B220004725,2,65575,ACPM,TRASLADO
DTC30D,113,2014,MOTOCICLETA,PARTICULAR,E3H4E042062,9FKKE1370E2042062,1,3149,GASOLINA,ACTIVO
CAV069,3800,1992,CAMION,PUBLICO,359895,NLB55802,2,363167,GASOLINA,ACTIVO
SMI208,4300,2008,BUS,PUBLICO,E1T140027,9CNCO3CPX8B003105,29,8822,GASOLINA,ACTIVO
LAD315,1300,1991,AUTOMOVIL,PARTICULAR,G13B187015,N/N,5,309,GASOLINA,ACTIVO
TJY307,3000,2016,CAMIONETA,PUBLICO,2D3126,9GDNLR778GB034753,2,9122,ACPM,ACTIVO
WIM37A,124,2011,MOTOCICLETA,PARTICULAR,E3F4E005934,9FKKE1394B2005934,1,613,GASOLINA,ACTIVO
WIX83A,600,2013,MOTOCICLETA,PARTICULAR,J523E003216,JYARJ2210DA002087,1,14223,GASOLINA,ACTIVO
WGW85D,149,2017,MOTOCICLETA,PARTICULAR,E3M2E159921,9FKKE2011H2159921,1,3575,GASOLINA,ACTIVO
WIV24A,134,2013,MOTOCICLETA,PARTICULAR,JEGBUM76390,9FLJDC1Z1DAE53388,1,1662,GASOLINA,ACTIVO
WGU39D,199.5,2016,MOTOCICLETA,PARTICULAR,JLZCFJ88255,9FLA36FZ9GBB83211,1,21740,GASOLINA,ACTIVO
SMI009,3660,2005,MICRO BUS,PUBLICO,1767905,9FPV126B052000071,19,10107261,ACPM,ACTIVO
WGY16D,113.7,2017,MOTOCICLETA,PARTICULAR,E3H4E076644,9FKKE137XH2076644,1,135,GASOLINA,ACTIVO
SMI250,7600,2008,CAMION,PUBLICO,35203463,3HTWYAHTX8N660415,2,383236001,ACPM,ACTIVO
TMA687,6000,1977,CAMION,PUBLICO,FE6-111945B,DT701104,2,14324,ACPM,ACTIVO
MML421,2700,1998,MICRO BUS,PUBLICO,TD27596021,JN1TC4E24Z0601079,15,6620,GASOLINA,ACTIVO
ABO014,2600,2006,CAMIONETA,PARTICULAR,D4BB5215463,KMJWVHZBP6U710367,5,4801,GASOLINA,ACTIVO
WII23A,150,2009,MOTOCICLETA,PARTICULAR,QJ162FMJ680217048,LBBPEJJ117B000050,1,729,GASOLINA,ACTIVO
WIX15A,125,2013,MOTOCICLETA,PARTICULAR,E3B6E251416,9FKKE1107D2251416,1,1604,GASOLINA,ACTIVO
WGX28D,199.5,2017,MOTOCICLETA,PARTICULAR,JLZCGL09892,9FLA36FZ4HDH89795,1,3025,GASOLINA,ACTIVO
SKN378,5307,2007,BUSETA,PUBLICO,J05CTE15249,JHDFB4JGT7XX12580,28,111923,ACPM,TRASLADO
